SR. No, District - Country,Total Sample Received,Todays Positive,Cumulative Positive,Recovered,Discharged
1,Ajmer,16668,6,362,299,243
2,Alwar,11269,0,82,52,52
3,Banswara,3319,0,85,83,81
4,Baran,3467,8,53,8,3
5,Barmer,6944,3,105,77,77
6,Bharatpur,14179,49,504,150,124
7,Bhilwara,22814,5,160,104,101
8,Bikaner,13649,1,109,77,77
9,Bundi,1983,2,4,0,0
10,Chittorgarh,8356,8,188,166,156
11,Churu,8091,25,142,62,62
12,Dausa,6876,0,62,46,45
13,Dholpur,6521,0,65,44,44
14,Dungarpur,9534,0,373,297,230
15,Ganganagar,2419,0,7,3,1
16,Hanumangarh,4080,0,30,16,16
17,Jaipur,74193,12,2136,1750,1546
18,Jaisalmer,6905,0,74,65,65
19,Jalore,13580,6,168,150,133
20,Jhalawar,11279,0,302,132,68
21,Jhunjhunu,10277,6,149,121,121
22,Jodhpur,84237,29,1655,1204,1199
23,Karauli,3003,1,20,9,9
24,Kota,29236,7,501,384,280
25,Nagaur,15724,6,481,373,373
26,Pali,12769,5,554,333,333
27,Pratapgarh,2642,0,14,12,12
28,Rajsamand,3864,3,148,118,111
29,S. Madhopur,4937,1,23,16,16
30,Sikar,17085,12,243,153,153
31,Sirohi,9416,2,181,59,59
32,Tonk,8276,0,169,162,161
32,Udaipur,18265,8,576,466,426
,Other District/State Sample,1272,5,24,0,0
,Total,467129,210,9749,6991,6377
,,Evacuess,0,61,61,61
,,BSF,0,50,50,50
,,Grand Total,210,9862,7104,6490

COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,
http://www.rajswasthya.nic.in/
