District,Cases,Active,Recovered,Death,Total Samples,Total Positive,Total Negative,Total Inprogress, Total, Beds, Hall, Rooms
Anantapur,238,69,165,4,32520,238,32282,0
Chittoor,281,70,207,4,30633,281,30352,0,2085,2721,33,1032
East Godavari,252,177,72,2,49033,252,48781,0,2378,11701,743,4180
Guntur,535,136,390,9,32359,535,31824,0,3205,5599,8,4643
Kadapa,148,34,114,0,33626,148,33478,0,1335,3654,189,1126
Krishna,497,140,337,20,26732,497,26235,0,2047,3102,12,2008
Kurnool,745,138,580,27,30929,745,30184,0,1552,5579,220,3258
Prakasam,84,17,67,0,25966,84,25882,0,1500,8115,751,2212
Nellore,283,93,186,4,24675,283,24392,0,948,6888,154,2658
Srikakulam,29,18,11,0,45341,29,45312,0,1667,5663,403,1144
Visakhapatnam,110,36,73,1,31277,110,31167,0,2299,6152,0,3471
Vizianagaram,30,17,13,0,21632,30,21602,0,1285,4054,508,1044
West Godavari,145,88,57,0,28275,145,28130,0,953,16639,498,8068
http://covid19.ap.gov.in/Covid19_Admin/api/CV/DashboardCountAPI
