SR. No, District - Country,Total Sample Received,Todays Positive,Cumulative Positive,Recovered,Discharged
1,Ajmer,15921,1,350,297,220
2,Alwar,10369,10,69,52,52
3,Banswara,3272,0,85,83,81
4,Baran,3058,0,42,6,3
5,Barmer,6599,3,102,75,75
6,Bharatpur,13085,70,367,134,124
7,Bhilwara,22167,8,153,100,82
8,Bikaner,11956,2,108,60,60
9,Bundi,1891,0,2,0,0
10,Chittorgarh,8111,3,179,165,140
11,Churu,7794,2,115,62,62
12,Dausa,6345,7,59,44,43
13,Dholpur,5467,2,62,39,38
14,Dungarpur,8731,0,368,258,230
15,Ganganagar,2211,1,7,1,0
16,Hanumangarh,4029,0,30,14,14
17,Jaipur,70309,42,2069,1683,1477
18,Jaisalmer,6214,0,74,59,59
19,Jalore,13003,0,162,96,95
20,Jhalawar,10458,23,292,66,57
21,Jhunjhunu,9836,6,143,107,105
22,Jodhpur,80322,44,1606,1130,1125
23,Karauli,2394,0,17,8,8
24,Kota,27877,13,490,362,267
25,Nagaur,15324,0,456,302,302
26,Pali,10535,13,530,243,243
27,Pratapgarh,2517,0,14,11,11
28,Rajsamand,3696,0,142,98,98
29,S. Madhopur,4854,0,20,16,16
30,Sikar,17043,5,224,115,115
31,Sirohi,8935,12,176,59,59
32,Tonk,8067,1,166,161,161
32,Udaipur,17199,4,566,424,368
,Other District/State Sample,1200,1,15,0,0
,Total,440789,273,9260,6330,5790
,,Evacuess,0,61,61,61
,,BSF,0,50,42,42
,,Grand Total,273,9373,6435,5895

COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,
http://www.rajswasthya.nic.in/
