District,Cases,Active,Recovered,Death,Total Samples,Total Positive,Total Negative,Total Inprogress, Total, Beds, Hall, Rooms
Anantapur,136,40,92,4,19718,136,19582,0
Chittoor,208,110,97,1,21259,208,21051,0,2085,2721,33,1032
East Godavari,59,16,43,0,28358,59,28299,0,2378,11701,743,4180
Guntur,426,90,328,8,21250,426,20824,0,3205,5599,8,4643
Kadapa,107,31,76,0,20294,107,20187,0,1335,3654,189,1126
Krishna,396,101,280,15,18108,396,17712,0,2047,3102,12,2008
Kurnool,638,170,447,21,20740,638,20102,0,1552,5579,220,3258
Prakasam,67,4,63,0,18807,67,18740,0,1500,8115,751,2212
Nellore,182,76,103,3,16307,182,16125,0,948,6888,154,2658
Srikakulam,16,11,5,0,24450,16,24434,0,1667,5663,403,1144
Visakhapatnam,81,33,47,1,25505,81,25424,0,2299,6152,0,3471
Vizianagaram,16,12,4,0,13834,16,13818,0,1285,4054,508,1044
West Godavari,75,21,54,0,18829,75,18754,0,953,16639,498,8068
http://covid19.ap.gov.in/Covid19_Admin/api/CV/DashboardCountAPI
