District,Confirmed Positive Cases,Cases Tested for COVID19,Patients Recovered,People Under Quarantine,Total Deaths,Last Updated
Ahmedabad,10590,73577,4187,73306,722,25/05/2020  8:18:10 PM
Amreli,6,2580,0,137526,0,25/05/2020  8:18:10 PM
Anand,93,1968,77,1618,10,25/05/2020  8:18:10 PM
Aravalli,99,2002,77,2486,3,25/05/2020  8:18:10 PM
Banaskantha,99,2535,78,10644,4,25/05/2020  8:18:10 PM
Bharuch,37,1996,28,5669,3,25/05/2020  8:18:10 PM
Bhavnagar,117,4961,91,48615,8,25/05/2020  8:18:10 PM
Botad,57,1837,54,17476,1,25/05/2020  8:18:10 PM
Chhota Udaipur,22,1721,21,14963,0,25/05/2020  8:18:10 PM
Dahod,36,2960,18,6950,0,25/05/2020  8:18:10 PM
Dang,2,547,2,489,0,25/05/2020  8:18:10 PM
Devbhoomi Dwarka,12,1599,11,1848,0,25/05/2020  8:18:10 PM
Gandhinagar,225,5160,121,2450,13,25/05/2020  8:18:10 PM
Gir Somnath,44,1502,22,12731,0,25/05/2020  8:18:10 PM
Jamnagar,47,4711,31,6539,2,25/05/2020  8:18:10 PM
Junagadh,26,5680,8,13328,0,25/05/2020  8:18:10 PM
Kutch,64,2578,12,16866,1,25/05/2020  8:18:10 PM
Kheda,63,2422,35,674,3,25/05/2020  8:18:10 PM
Mahisagar,88,1882,41,5564,1,25/05/2020  8:18:10 PM
Mehsana,102,1186,56,2763,4,25/05/2020  8:18:10 PM
Morbi,3,1819,2,1135,0,25/05/2020  8:18:10 PM
Narmada,18,1408,13,2104,0,25/05/2020  8:18:10 PM
Navsari,16,2460,8,5393,0,25/05/2020  8:18:10 PM
Panchmahal,77,2714,67,3355,6,25/05/2020  8:18:10 PM
Patan,72,1586,35,12638,4,25/05/2020  8:18:10 PM
Porbandar,7,1543,4,3120,0,25/05/2020  8:18:10 PM
Rajkot,93,4430,66,10875,2,25/05/2020  8:18:10 PM
Sabarkantha,89,2313,20,2470,3,25/05/2020  8:18:10 PM
Surat,1351,28926,931,9039,62,25/05/2020  8:18:10 PM
Surendranagar,25,2318,3,1198,0,25/05/2020  8:18:10 PM
Tapi,6,1457,2,63,0,25/05/2020  8:18:10 PM
Vadodara,854,8588,510,3378,35,25/05/2020  8:18:10 PM
Valsad,20,3394,5,5324,1,25/05/2020  8:18:10 PM
Total,14460,186360,6636,442597,888,25/05/2020  8:18:10 PM
https://gujcovid19.gujarat.gov.in/
