District,Confirmed Positive Cases,Cases Tested for COVID19,Patients Recovered,People Under Quarantine,Total Deaths,Last Updated
Ahmedabad,11097,75478,4950,80363,764,27/05/2020 10:14:24 PM
Amreli,8,2719,0,63014,0,27/05/2020 10:14:24 PM
Anand,95,2054,77,1320,10,27/05/2020 10:14:24 PM
Aravalli,101,2097,78,2642,3,27/05/2020 10:14:24 PM
Banaskantha,102,2761,78,10128,4,27/05/2020 10:14:24 PM
Bharuch,37,2059,29,4911,3,27/05/2020 10:14:24 PM
Bhavnagar,120,5235,97,35386,8,27/05/2020 10:14:24 PM
Botad,58,1908,54,17870,1,27/05/2020 10:14:24 PM
Chhota Udaipur,23,2005,21,11025,0,27/05/2020 10:14:24 PM
Dahod,36,3098,22,5146,0,27/05/2020 10:14:24 PM
Dang,2,597,2,335,0,27/05/2020 10:14:24 PM
Devbhoomi Dwarka,12,1725,11,1882,0,27/05/2020 10:14:24 PM
Gandhinagar,237,5350,129,3893,13,27/05/2020 10:14:24 PM
Gir Somnath,44,1585,23,11298,0,27/05/2020 10:14:24 PM
Jamnagar,52,4863,31,6096,2,27/05/2020 10:14:24 PM
Junagadh,27,6133,9,10736,0,27/05/2020 10:14:24 PM
Kutch,68,2814,13,19650,1,27/05/2020 10:14:24 PM
Kheda,63,2543,44,667,4,27/05/2020 10:14:24 PM
Mahisagar,105,1983,41,4452,2,27/05/2020 10:14:24 PM
Mehsana,104,1266,60,2729,4,27/05/2020 10:14:24 PM
Morbi,3,1924,2,492,0,27/05/2020 10:14:24 PM
Narmada,18,1468,13,1657,0,27/05/2020 10:14:24 PM
Navsari,22,2567,8,5819,0,27/05/2020 10:14:24 PM
Panchmahal,79,2921,68,2894,7,27/05/2020 10:14:24 PM
Patan,75,1708,51,11951,5,27/05/2020 10:14:24 PM
Porbandar,8,1615,4,2582,0,27/05/2020 10:14:24 PM
Rajkot,97,4568,68,10789,2,27/05/2020 10:14:24 PM
Sabarkantha,97,2449,29,2824,3,27/05/2020 10:14:24 PM
Surat,1421,29827,986,9632,65,27/05/2020 10:14:24 PM
Surendranagar,31,2477,10,1367,0,27/05/2020 10:14:24 PM
Tapi,6,1560,2,54,0,27/05/2020 10:14:24 PM
Vadodara,914,9002,530,3330,36,27/05/2020 10:14:24 PM
Valsad,33,3503,9,5385,1,27/05/2020 10:14:24 PM
Total,15195,193862,7549,352319,938,27/05/2020 10:14:24 PM
https://gujcovid19.gujarat.gov.in/
