District,Cases,Active,Recovered,Death,Total Samples,Total Positive,Total Negative,Total Inprogress, Total, Beds, Hall, Rooms
Anantapur,209,101,104,4,26075,209,25866,0
Chittoor,238,79,158,1,27315,238,27077,0,2085,2721,33,1032
East Godavari,154,103,49,2,37466,154,37312,0,2378,11701,743,4180
Guntur,465,86,371,8,27742,465,27277,0,3205,5599,8,4643
Kadapa,109,10,99,0,27409,109,27300,0,1335,3654,189,1126
Krishna,445,122,306,17,22641,445,22196,0,2047,3102,12,2008
Kurnool,688,134,532,22,26140,688,25452,0,1552,5579,220,3258
Prakasam,75,9,66,0,22820,75,22745,0,1500,8115,751,2212
Nellore,233,86,143,4,20220,233,19987,0,948,6888,154,2658
Srikakulam,21,12,9,0,34542,21,34521,0,1667,5663,403,1144
Visakhapatnam,99,36,62,1,28510,99,28411,0,2299,6152,0,3471
Vizianagaram,22,18,4,0,18376,22,18354,0,1285,4054,508,1044
West Godavari,83,28,55,0,22576,83,22493,0,953,16639,498,8068
http://covid19.ap.gov.in/Covid19_Admin/api/CV/DashboardCountAPI
