District,Cases,Active,Recovered,Death,Total Samples,Total Positive,Total Negative,Total Inprogress, Total, Beds, Hall, Rooms
Anantapur,209,89,116,4,26931,209,26722,0
Chittoor,246,70,175,1,27862,246,27616,0,2085,2721,33,1032
East Godavari,156,105,49,2,39631,156,39475,0,2378,11701,743,4180
Guntur,465,80,377,8,28236,465,27771,0,3205,5599,8,4643
Kadapa,111,9,102,0,27936,111,27825,0,1335,3654,189,1126
Krishna,454,122,315,17,23545,454,23091,0,2047,3102,12,2008
Kurnool,695,125,547,23,26689,695,25994,0,1552,5579,220,3258
Prakasam,75,9,66,0,23563,75,23488,0,1500,8115,751,2212
Nellore,238,80,154,4,20804,238,20566,0,948,6888,154,2658
Srikakulam,21,12,9,0,36491,21,36470,0,1667,5663,403,1144
Visakhapatnam,99,32,66,1,28943,99,28844,0,2299,6152,0,3471
Vizianagaram,22,18,4,0,19045,22,19023,0,1285,4054,508,1044
West Godavari,83,26,57,0,23742,83,23659,0,953,16639,498,8068
http://covid19.ap.gov.in/Covid19_Admin/api/CV/DashboardCountAPI
