District,Active Cases,Cases Tested for COVID19,Patients Recovered,People Under Quarantine,Total Deaths,Last Updated
Ahmedabad,5233,76668,5331,82368,780,28/05/2020  9:55:11 PM
Amreli,6,2782,2,51974,0,28/05/2020  9:55:11 PM
Anand,10,2190,77,1223,10,28/05/2020  9:55:11 PM
Aravalli,11,2147,88,1723,3,28/05/2020  9:55:11 PM
Banaskantha,19,2897,80,9879,4,28/05/2020  9:55:11 PM
Bharuch,5,2123,29,4708,3,28/05/2020  9:55:11 PM
Bhavnagar,13,5347,99,25066,8,28/05/2020  9:55:11 PM
Botad,4,1939,54,9006,1,28/05/2020  9:55:11 PM
Chhota Udaipur,3,2102,21,9159,0,28/05/2020  9:55:11 PM
Dahod,14,3181,22,4915,0,28/05/2020  9:55:11 PM
Dang,0,617,2,343,0,28/05/2020  9:55:11 PM
Devbhoomi Dwarka,1,1792,11,1778,0,28/05/2020  9:55:11 PM
Gandhinagar,92,5424,136,4137,13,28/05/2020  9:55:11 PM
Gir Somnath,22,1634,23,8484,0,28/05/2020  9:55:11 PM
Jamnagar,15,4942,35,4983,2,28/05/2020  9:55:11 PM
Junagadh,16,6395,12,10560,0,28/05/2020  9:55:11 PM
Kutch,48,2966,25,18270,2,28/05/2020  9:55:11 PM
Kheda,15,2595,45,830,4,28/05/2020  9:55:11 PM
Mahisagar,70,2018,41,3799,2,28/05/2020  9:55:11 PM
Mehsana,41,1309,60,2698,4,28/05/2020  9:55:11 PM
Morbi,2,1983,2,518,0,28/05/2020  9:55:11 PM
Narmada,5,1492,13,1389,0,28/05/2020  9:55:11 PM
Navsari,15,2620,8,5922,0,28/05/2020  9:55:11 PM
Panchmahal,6,3003,68,2536,7,28/05/2020  9:55:11 PM
Patan,13,1778,57,11575,6,28/05/2020  9:55:11 PM
Porbandar,4,1654,4,2640,0,28/05/2020  9:55:11 PM
Rajkot,34,4714,68,10934,2,28/05/2020  9:55:11 PM
Sabarkantha,63,2485,31,2791,3,28/05/2020  9:55:11 PM
Surat,393,30283,1007,9585,65,28/05/2020  9:55:11 PM
Surendranagar,21,2564,10,1367,1,28/05/2020  9:55:11 PM
Tapi,4,1616,2,54,0,28/05/2020  9:55:11 PM
Vadodara,378,9252,530,3096,39,28/05/2020  9:55:11 PM
Valsad,23,3535,10,5419,1,28/05/2020  9:55:11 PM
Total,6599,198047,8003,313729,960,28/05/2020  9:55:11 PM
https://gujcovid19.gujarat.gov.in/
