SR. No, District - Country,Total Sample Received,Todays Positive,Cumulative Positive,Recovered,Discharged
1,Ajmer,15354,6,342,292,142
2,Alwar,9720,0,53,49,39
3,Banswara,3138,0,85,81,72
4,Baran,2417,0,15,4,3
5,Barmer,6482,0,99,62,62
6,Bharatpur,10475,18,253,129,117
7,Bhilwara,21300,3,143,100,82
8,Bikaner,11305,2,106,57,50
9,Bundi,1650,0,2,0,0
10,Chittorgarh,7971,0,176,165,140
11,Churu,7560,2,106,60,60
12,Dausa,6105,0,50,41,41
13,Dholpur,4982,7,60,38,38
14,Dungarpur,8017,9,365,243,208
15,Ganganagar,2086,0,6,0,0
16,Hanumangarh,3834,0,30,14,14
17,Jaipur,68091,30,1991,1615,1427
18,Jaisalmer,5995,0,74,59,59
19,Jalore,10752,0,162,61,61
20,Jhalawar,9624,15,264,54,51
21,Jhunjhunu,9211,7,131,82,80
22,Jodhpur,75551,54,1530,1130,1125
23,Karauli,2168,1,17,7,7
24,Kota,25684,14,466,355,247
25,Nagaur,14892,10,456,226,226
26,Pali,9095,10,465,195,195
27,Pratapgarh,2010,1,14,4,4
28,Rajsamand,3463,6,141,66,66
29,S. Madhopur,4114,0,20,13,13
30,Sikar,15021,5,207,105,105
31,Sirohi,6536,2,159,43,43
32,Tonk,7657,1,164,158,155
32,Udaipur,16347,11,552,419,277
,Other District/State Sample,1170,0,14,0,0
,Total,409777,214,8718,5927,5209
,,Evacuess,0,61,61,61
,,BSF,0,50,42,42
,,Grand Total,214,8831,6032,5314

COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,
http://www.rajswasthya.nic.in/
