District,Cases,Active,Recovered,Death,Total Samples,Total Positive,Total Negative,Total Inprogress, Total, Beds, Hall, Rooms
Anantapur,255,63,165,4,33796,255,33541,0
Chittoor,285,70,209,4,31615,285,31330,0,2085,2721,33,1032
East Godavari,253,184,85,2,51549,253,51296,0,2378,11701,743,4180
Guntur,540,129,390,9,32689,540,32149,0,3205,5599,8,4643
Kadapa,150,20,114,0,34239,150,34089,0,1335,3654,189,1126
Krishna,505,130,337,22,27210,505,26705,0,2047,3102,12,2008
Kurnool,745,137,587,27,31633,745,30888,0,1552,5579,220,3258
Prakasam,85,14,67,0,26182,85,26097,0,1500,8115,751,2212
Nellore,288,78,186,4,25679,288,25391,0,948,6888,154,2658
Srikakulam,29,18,11,0,45724,29,45695,0,1667,5663,403,1144
Visakhapatnam,111,33,73,1,31922,111,31811,0,2299,6152,0,3471
Vizianagaram,32,13,13,0,22237,32,22205,0,1285,4054,508,1044
West Godavari,149,78,57,0,28266,149,28117,0,953,16639,498,8068
http://covid19.ap.gov.in/Covid19_Admin/api/CV/DashboardCountAPI
