SR. No, District - Country,Total Sample Received,Todays Positive,Cumulative Positive,Recovered,Discharged
1,Ajmer,16325,6,356,299,243
2,Alwar,10716,13,82,52,52
3,Banswara,3289,0,85,83,81
4,Baran,3233,3,45,6,3
5,Barmer,6814,0,102,76,76
6,Bharatpur,13654,88,455,134,124
7,Bhilwara,22615,2,155,103,96
8,Bikaner,13625,0,108,69,69
9,Bundi,1938,0,2,0,0
10,Chittorgarh,8336,1,180,165,148
11,Churu,7965,2,117,62,62
12,Dausa,6464,3,62,46,45
13,Dholpur,6313,3,65,39,38
14,Dungarpur,8980,5,373,279,230
15,Ganganagar,2396,0,7,1,1
16,Hanumangarh,4055,0,30,16,16
17,Jaipur,72352,55,2124,1734,1528
18,Jaisalmer,6696,0,74,65,65
19,Jalore,13309,0,162,134,133
20,Jhalawar,10921,10,302,132,68
21,Jhunjhunu,10077,0,143,112,111
22,Jodhpur,81203,20,1626,1170,1165
23,Karauli,2810,2,19,9,9
24,Kota,28815,4,494,362,267
25,Nagaur,15536,19,475,302,302
26,Pali,11785,19,549,254,254
27,Pratapgarh,2541,0,14,11,11
28,Rajsamand,3776,3,145,118,111
29,S. Madhopur,4886,2,22,16,16
30,Sikar,17065,7,231,128,128
31,Sirohi,9373,3,179,59,59
32,Tonk,8158,3,169,162,161
32,Udaipur,17527,2,568,433,423
,Other District/State Sample,1240,4,19,0,0
,Total,454788,279,9539,6631,6095
,,Evacuess,0,61,61,61
,,BSF,0,50,42,42
,,Grand Total,279,9652,6736,6200

COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,
http://www.rajswasthya.nic.in/
