District,Cases,Active,Recovered,Death,Total Samples,Total Positive,Total Negative,Total Inprogress, Total, Beds, Hall, Rooms
Anantapur,231,63,164,4,30757,231,30526,0
Chittoor,272,70,198,4,30594,272,30322,0,2085,2721,33,1032
East Godavari,250,184,64,2,48397,250,48147,0,2378,11701,743,4180
Guntur,527,129,390,8,31481,527,30954,0,3205,5599,8,4643
Kadapa,134,20,114,0,32386,134,32252,0,1335,3654,189,1126
Krishna,486,130,337,19,26707,486,26221,0,2047,3102,12,2008
Kurnool,740,137,577,26,30368,740,29628,0,1552,5579,220,3258
Prakasam,81,14,67,0,25359,81,25278,0,1500,8115,751,2212
Nellore,261,78,179,4,24488,261,24227,0,948,6888,154,2658
Srikakulam,29,18,11,0,43271,29,43242,0,1667,5663,403,1144
Visakhapatnam,107,33,73,1,30774,107,30667,0,2299,6152,0,3471
Vizianagaram,26,13,13,0,21094,26,21068,0,1285,4054,508,1044
West Godavari,135,78,57,0,27379,135,27244,0,953,16639,498,8068
http://covid19.ap.gov.in/Covid19_Admin/api/CV/DashboardCountAPI
