SR. No, District - Country,Total Sample Received,Todays Positive,Cumulative Positive,Recovered,Discharged
1,Ajmer,14962,7,336,291,141
2,Alwar,9410,0,53,49,39
3,Banswara,3101,0,85,74,72
4,Baran,2359,7,15,4,3
5,Barmer,6318,7,99,57,57
6,Bharatpur,10019,25,235,129,117
7,Bhilwara,21035,4,140,93,62
8,Bikaner,10896,1,104,57,50
9,Bundi,1605,0,2,0,0
10,Chittorgarh,7862,0,176,156,140
11,Churu,7443,8,104,53,53
12,Dausa,5913,0,50,38,38
13,Dholpur,3768,3,53,37,37
14,Dungarpur,6802,17,356,191,191
15,Ganganagar,2020,1,6,0,0
16,Hanumangarh,3718,1,30,14,14
17,Jaipur,66359,29,1961,1583,1422
18,Jaisalmer,5892,2,74,53,53
19,Jalore,9801,7,162,60,46
20,Jhalawar,8931,3,249,51,51
21,Jhunjhunu,8967,3,124,81,80
22,Jodhpur,73327,34,1476,1111,1106
23,Karauli,2024,4,16,7,7
24,Kota,25046,12,452,353,230
25,Nagaur,14404,2,446,202,202
26,Pali,7548,41,455,185,185
27,Pratapgarh,1906,0,13,4,4
28,Rajsamand,3461,0,135,50,50
29,S. Madhopur,4094,0,20,13,13
30,Sikar,14994,15,202,103,103
31,Sirohi,6475,10,157,18,18
32,Tonk,7526,0,163,158,155
32,Udaipur,16347,9,541,359,235
,Other District/State Sample,1157,0,14,0,0
,Total,395490,252,8504,5634,4974
,,Evacuess,0,61,61,61
,,BSF,0,50,42,42
,,Grand Total,252,8617,5739,5079

COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,
http://www.rajswasthya.nic.in/
