65359,,15/06/2020,,,,,Maharashtra,MH,2786,Hospitalized,,,https://twitter.com/ANI/status/1272567822191714304?s=20,,,,,,94729
65360,,15/06/2020,,,,,Maharashtra,MH,178,Deceased,,,https://twitter.com/ANI/status/1272567822191714304?s=20,,,,,,94730
65361,,15/06/2020,,,,,Maharashtra,MH,5071,Recovered,,,https://twitter.com/ANI/status/1272567822191714304?s=20,,,,,,94731
65578,,15/06/2020,,,,Mumbai,Maharashtra,MH,1067,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94948
65579,,15/06/2020,,,,Thane,Maharashtra,MH,652,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94949
65580,,15/06/2020,,,,Palghar,Maharashtra,MH,150,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94950
65581,,15/06/2020,,,,Raigad,Maharashtra,MH,64,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94951
65582,,15/06/2020,,,,Nashik,Maharashtra,MH,72,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94952
65583,,15/06/2020,,,,Ahmednagar,Maharashtra,MH,7,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94953
65584,,15/06/2020,,,,Dhule,Maharashtra,MH,40,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94954
65585,,15/06/2020,,,,Jalgaon,Maharashtra,MH,81,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94955
65586,,15/06/2020,,,,Nandurbar,Maharashtra,MH,18,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94956
65587,,15/06/2020,,,,Pune,Maharashtra,MH,235,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94957
65588,,15/06/2020,,,,Solapur,Maharashtra,MH,69,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94958
65589,,15/06/2020,,,,Satara,Maharashtra,MH,11,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94959
65590,,15/06/2020,,,,Kolhapur,Maharashtra,MH,35,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94960
65591,,15/06/2020,,,,Sangli,Maharashtra,MH,21,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94961
65592,,15/06/2020,,,,Sindhudurg,Maharashtra,MH,6,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94962
65593,,15/06/2020,,,,Ratnagiri,Maharashtra,MH,43,Hospitalized,,,https://t.me/indiacovid/7374,,,,,,94963
